feature,importance
price_close_mean_5,0.05384013
price_low,0.04498845
price_open,0.042328477
price_close,0.041224863
agg_taker_sell_std_12,0.041071117
price_high,0.039837692
taker_buy_std_12,0.03929203
agg_taker_buy_std_12,0.0345009
taker_sell_std_12,0.030986885
taker_aggregated_buy_volume_usd,0.030856997
price_close_std_5,0.030651769
agg_taker_sell_mean_12,0.030222874
taker_aggregated_sell_volume_usd,0.029907769
price_rolling_vol_5,0.029806772
agg_taker_buy_mean_12,0.029073408
agg_taker_buy_ratio,0.028386211
taker_sell_mean_12,0.027987711
taker_buy_mean_12,0.027823443
agg_taker_imbalance,0.023758683
price_close_return_5,0.023331493
taker_sell_zscore,0.02243627
agg_taker_buy_zscore,0.021420678
agg_taker_aggregated_buy_volume_usd,0.020053081
price_volume_zscore,0.019860813
taker_buy_zscore,0.019107325
price_true_range,0.018034149
price_wick_upper,0.017758744
price_volume_mean_10,0.01697303
price_volume_usd,0.016157037
price_volume_change,0.015673151
price_wick_lower,0.01473429
agg_taker_sell_zscore,0.014462128
cross_agg_taker_imbalance_price,0.013836599
taker_imbalance,0.013508402
price_body_size,0.012971199
cross_taker_imbalance_price,0.012951459
taker_buy_ratio,0.012905737
agg_taker_aggregated_sell_volume_usd,0.011698174
price_close_return_1,0.009528696
price_log_return,0.008937779
cross_taker_price,0.0071136407
cross_agg_taker_price,0.0
