feature,importance
oi_close,0.026193226
price_close_mean_5,0.021245686
price_low,0.020254912
oi_std_24,0.01933942
oi_zscore,0.019199288
funding_norm,0.018895773
cross_taker_price,0.01806612
ls_top_top_account_long_short_ratio,0.017879717
basis_volatility_24,0.017843818
taker_sell_mean_12,0.017667161
price_close,0.017163286
funding_close,0.017138854
basis_zscore,0.016993195
taker_sell_std_12,0.0169476
oi_delta,0.016779885
funding_mean_24,0.01666771
basis_drift,0.016635163
price_rolling_vol_5,0.016521364
basis_mean_24,0.016439823
price_true_range,0.016334314
price_wick_upper,0.0161332
price_close_std_5,0.016106386
taker_buy_mean_12,0.01604375
funding_std_24,0.015905976
taker_buy_std_12,0.015902681
taker_buy_ratio,0.015821788
ls_top_top_account_short_percent,0.015767243
taker_sell_zscore,0.015766656
price_close_return_5,0.015627742
ls_top_zscore,0.015617386
oi_low,0.015584696
basis_open_basis,0.015541463
taker_buy_zscore,0.015483646
funding_low,0.015435969
price_body_size,0.015163896
cross_funding_price,0.015084407
cross_ls_price,0.015029964
price_volume_mean_10,0.015021556
price_volume_zscore,0.015009083
funding_high,0.01485126
basis_close_change,0.0148454355
price_volume_usd,0.014582808
basis_open_change,0.014534995
ls_top_top_account_long_percent,0.014457612
price_high,0.014447806
taker_aggregated_buy_volume,0.014343242
funding_zscore,0.014326713
cross_basis_taker,0.01430283
basis_close_basis,0.014113392
cross_taker_funding,0.0140900435
oi_open,0.01407793
taker_aggregated_sell_volume,0.014016425
taker_imbalance,0.013980989
price_open,0.013817527
cross_oi_price,0.0137524195
price_wick_lower,0.013388071
ls_top_delta,0.013201207
basis_delta,0.013035674
price_volume_change,0.012946669
price_log_return,0.012725466
funding_open,0.012462382
oi_change_pct,0.011802643
price_close_return_1,0.011600418
oi_high,0.010042119
