Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2025-01-06T04:00:00Z,BTCUSDT,98340.3,0.085,Market,Filled,8358.9255,"" 
2025-01-11T01:00:00Z,BTCUSDT,94556.4,-0.085,Market,Filled,-8037.294,"Liquidated" 
2025-01-25T06:00:00Z,BTCUSDT,104315.8,0.078,Market,Filled,8136.6324,"" 
2025-01-30T05:00:00Z,BTCUSDT,105432.2,-0.078,Market,Filled,-8223.7116,"Liquidated" 
2025-01-30T09:00:00Z,BTCUSDT,105010.1,0.078,Market,Filled,8190.7878,"" 
2025-02-01T21:00:00Z,BTCUSDT,101295.4,-0.078,Market,Filled,-7901.0412,"Liquidated" 
2025-02-01T22:00:00Z,BTCUSDT,101149.9,0.079,Market,Filled,7990.8421,"" 
2025-02-06T22:00:00Z,BTCUSDT,100603.5,-0.079,Market,Filled,-7947.6765,"Liquidated" 
2025-04-24T16:00:00Z,BTCUSDT,93144.9,0.085,Market,Filled,7917.3165,"" 
2025-04-26T03:00:00Z,BTCUSDT,94935.3,-0.085,Market,Filled,-8069.5005,"Liquidated" 
2025-04-26T07:00:00Z,BTCUSDT,94588.5,0.085,Market,Filled,8040.0225,"" 
2025-05-01T07:00:00Z,BTCUSDT,94849.4,-0.085,Market,Filled,-8062.199,"Liquidated" 
2025-05-01T14:00:00Z,BTCUSDT,95745.1,0.084,Market,Filled,8042.5884,"" 
2025-05-02T03:00:00Z,BTCUSDT,96901.3,-0.084,Market,Filled,-8139.7092,"Liquidated" 
2025-05-02T06:00:00Z,BTCUSDT,96653.5,0.084,Market,Filled,8118.894,"" 
2025-05-07T06:00:00Z,BTCUSDT,96334.2,-0.084,Market,Filled,-8092.0728,"Liquidated" 
2025-05-07T07:00:00Z,BTCUSDT,96513,0.084,Market,Filled,8107.092,"" 
2025-05-08T01:00:00Z,BTCUSDT,97725,-0.084,Market,Filled,-8208.9,"Liquidated" 
2025-05-08T13:00:00Z,BTCUSDT,99250,0.082,Market,Filled,8138.5,"" 
2025-05-08T21:00:00Z,BTCUSDT,102576.8,-0.082,Market,Filled,-8411.2976,"Liquidated" 
2025-05-09T04:00:00Z,BTCUSDT,102419.6,0.082,Market,Filled,8398.4072,"" 
2025-05-10T07:00:00Z,BTCUSDT,103907.9,-0.082,Market,Filled,-8520.4478,"Liquidated" 
2025-05-10T11:00:00Z,BTCUSDT,103540.1,0.082,Market,Filled,8490.2882,"" 
2025-05-11T00:00:00Z,BTCUSDT,104788.8,-0.082,Market,Filled,-8592.6816,"Liquidated" 
2025-05-11T03:00:00Z,BTCUSDT,103712.5,0.083,Market,Filled,8608.1375,"" 
2025-05-16T03:00:00Z,BTCUSDT,104162.1,-0.083,Market,Filled,-8645.4543,"Liquidated" 
2025-05-16T05:00:00Z,BTCUSDT,103876.8,0.083,Market,Filled,8621.7744,"" 
2025-05-21T05:00:00Z,BTCUSDT,104327,-0.083,Market,Filled,-8659.141,"Liquidated" 
2025-06-03T20:00:00Z,BTCUSDT,106179.7,0.081,Market,Filled,8600.5557,"" 
2025-06-05T20:00:00Z,BTCUSDT,101877,-0.081,Market,Filled,-8252.037,"Liquidated" 
2025-06-05T21:00:00Z,BTCUSDT,100438.9,0.083,Market,Filled,8336.4287,"" 
2025-06-06T03:00:00Z,BTCUSDT,102148.1,-0.083,Market,Filled,-8478.2923,"Liquidated" 
2025-06-06T20:00:00Z,BTCUSDT,104177,0.081,Market,Filled,8438.337,"" 
2025-06-07T07:00:00Z,BTCUSDT,105272.2,-0.081,Market,Filled,-8527.0482,"Liquidated" 
2025-06-07T10:00:00Z,BTCUSDT,104788.2,0.081,Market,Filled,8487.8442,"" 
2025-06-08T17:00:00Z,BTCUSDT,106133.3,-0.081,Market,Filled,-8596.7973,"Liquidated" 
2025-06-08T22:00:00Z,BTCUSDT,106271,0.081,Market,Filled,8607.951,"" 
2025-06-09T12:00:00Z,BTCUSDT,107707.8,-0.081,Market,Filled,-8724.3318,"Liquidated" 
2025-06-09T17:00:00Z,BTCUSDT,107647.7,0.08,Market,Filled,8611.816,"" 
2025-06-09T23:00:00Z,BTCUSDT,110132.3,-0.08,Market,Filled,-8810.584,"Liquidated" 
2025-06-10T06:00:00Z,BTCUSDT,109271.8,0.081,Market,Filled,8851.0158,"" 
2025-06-13T01:00:00Z,BTCUSDT,103733.7,-0.081,Market,Filled,-8402.4297,"Liquidated" 
2025-06-13T03:00:00Z,BTCUSDT,103596.6,0.081,Market,Filled,8391.3246,"" 
2025-06-13T09:00:00Z,BTCUSDT,104679.3,-0.081,Market,Filled,-8479.0233,"Liquidated" 
2025-06-13T13:00:00Z,BTCUSDT,104799.8,0.081,Market,Filled,8488.7838,"" 
2025-06-16T04:00:00Z,BTCUSDT,105865.5,-0.081,Market,Filled,-8575.1055,"Liquidated" 
2025-06-16T23:00:00Z,BTCUSDT,107645.6,0.08,Market,Filled,8611.648,"" 
2025-06-17T17:00:00Z,BTCUSDT,103575.9,-0.08,Market,Filled,-8286.072,"Liquidated" 
2025-06-17T20:00:00Z,BTCUSDT,104630.6,0.079,Market,Filled,8265.8174,"" 
2025-06-20T10:00:00Z,BTCUSDT,105897.7,-0.079,Market,Filled,-8365.9183,"Liquidated" 
2025-06-20T14:00:00Z,BTCUSDT,105607.7,0.079,Market,Filled,8343.0083,"" 
2025-06-21T22:00:00Z,BTCUSDT,101392.7,-0.079,Market,Filled,-8010.0233,"Liquidated" 
2025-06-21T23:00:00Z,BTCUSDT,101732.5,0.079,Market,Filled,8036.8675,"" 
2025-06-24T01:00:00Z,BTCUSDT,105086.3,-0.079,Market,Filled,-8301.8177,"Liquidated" 
2025-06-24T04:00:00Z,BTCUSDT,104870.1,0.079,Market,Filled,8284.7379,"" 
2025-06-25T01:00:00Z,BTCUSDT,106343.6,-0.079,Market,Filled,-8401.1444,"Liquidated" 
2025-06-25T04:00:00Z,BTCUSDT,106177,0.079,Market,Filled,8387.983,"" 
2025-06-25T14:00:00Z,BTCUSDT,107870.1,-0.079,Market,Filled,-8521.7379,"Liquidated" 
2025-06-25T17:00:00Z,BTCUSDT,107087.4,0.079,Market,Filled,8459.9046,"" 
2025-06-29T12:00:00Z,BTCUSDT,108448.3,-0.079,Market,Filled,-8567.4157,"Liquidated" 
