Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-01T14:00:00Z,BTCUSDT,42715.55,0.01868,Market,Filled,797.926474,"" 
2024-01-01T16:00:00Z,BTCUSDT,42781.09,-0.01868,Market,Filled,-799.1507612,"Liquidated" 
2024-01-02T05:00:00Z,BTCUSDT,45179.8,0.01767,Market,Filled,798.327066,"" 
2024-01-02T07:00:00Z,BTCUSDT,45168.96,-0.01767,Market,Filled,-798.1355232,"Liquidated" 
2024-01-02T13:00:00Z,BTCUSDT,45302,0.01762,Market,Filled,798.22124,"" 
2024-01-02T15:00:00Z,BTCUSDT,45258.72,-0.01762,Market,Filled,-797.4586464,"Liquidated" 
2024-01-02T18:00:00Z,BTCUSDT,44966.16,0.01774,Market,Filled,797.6996784,"" 
2024-01-02T19:00:00Z,BTCUSDT,45154.69,-0.01774,Market,Filled,-801.0442006,"Liquidated" 
2024-01-02T21:00:00Z,BTCUSDT,44788.28,0.01787,Market,Filled,800.3665636,"" 
2024-01-02T22:00:00Z,BTCUSDT,45119.74,-0.01787,Market,Filled,-806.2897538,"Liquidated" 
2024-01-03T00:00:00Z,BTCUSDT,44946.91,0.01791,Market,Filled,804.9991581,"" 
2024-01-03T01:00:00Z,BTCUSDT,45135.6,-0.01791,Market,Filled,-808.378596,"Liquidated" 
2024-01-03T16:00:00Z,BTCUSDT,42997.97,0.01878,Market,Filled,807.5018766,"" 
2024-01-03T20:00:00Z,BTCUSDT,42596.66,-0.01878,Market,Filled,-799.9652748,"Liquidated" 
2024-01-03T23:00:00Z,BTCUSDT,42749.69,0.01875,Market,Filled,801.5566875,"" 
2024-01-04T00:00:00Z,BTCUSDT,42845.22,-0.01875,Market,Filled,-803.347875,"Liquidated" 
2024-01-04T06:00:00Z,BTCUSDT,43183.75,0.01859,Market,Filled,802.7859125,"" 
2024-01-04T11:00:00Z,BTCUSDT,43073.25,-0.01859,Market,Filled,-800.7317175,"Liquidated" 
2024-01-05T00:00:00Z,BTCUSDT,44151.1,0.01814,Market,Filled,800.900954,"" 
2024-01-05T01:00:00Z,BTCUSDT,44211.1,-0.01814,Market,Filled,-801.989354,"Liquidated" 
2024-01-05T03:00:00Z,BTCUSDT,43506.01,0.01843,Market,Filled,801.8157643,"" 
2024-01-05T05:00:00Z,BTCUSDT,43589.87,-0.01843,Market,Filled,-803.3613041,"Liquidated" 
2024-01-05T17:00:00Z,BTCUSDT,43226,0.01859,Market,Filled,803.57134,"" 
2024-01-05T22:00:00Z,BTCUSDT,43946.25,-0.01859,Market,Filled,-816.9607875,"Liquidated" 
2024-01-06T16:00:00Z,BTCUSDT,43867.18,0.01856,Market,Filled,814.1748608,"" 
2024-01-06T17:00:00Z,BTCUSDT,43872.34,-0.01856,Market,Filled,-814.2706304,"Liquidated" 
2024-01-07T06:00:00Z,BTCUSDT,43885.48,0.01856,Market,Filled,814.5145088,"" 
2024-01-07T15:00:00Z,BTCUSDT,44400.1,-0.01856,Market,Filled,-824.065856,"Liquidated" 
2024-01-07T16:00:00Z,BTCUSDT,44047.57,0.01866,Market,Filled,821.9276562,"" 
2024-01-07T18:00:00Z,BTCUSDT,44064.83,-0.01866,Market,Filled,-822.2497278,"Liquidated" 
2024-01-07T19:00:00Z,BTCUSDT,44106.11,0.01864,Market,Filled,822.1378904,"" 
2024-01-07T22:00:00Z,BTCUSDT,44231.53,-0.01864,Market,Filled,-824.4757192,"Liquidated" 
2024-01-08T01:00:00Z,BTCUSDT,43632,0.01889,Market,Filled,824.20848,"" 
2024-01-08T04:00:00Z,BTCUSDT,43518.2,-0.01889,Market,Filled,-822.058798,"Liquidated" 
2024-01-09T15:00:00Z,BTCUSDT,46561.11,0.01767,Market,Filled,822.7348137,"" 
2024-01-09T16:00:00Z,BTCUSDT,46868.08,-0.01767,Market,Filled,-828.1589736,"Liquidated" 
2024-01-10T11:00:00Z,BTCUSDT,45532.01,0.01816,Market,Filled,826.8613016,"" 
2024-01-10T12:00:00Z,BTCUSDT,45512.46,-0.01816,Market,Filled,-826.5062736,"Liquidated" 
2024-01-10T15:00:00Z,BTCUSDT,44884.01,0.01842,Market,Filled,826.7634642,"" 
2024-01-10T18:00:00Z,BTCUSDT,46401.88,-0.01842,Market,Filled,-854.7226296,"Liquidated" 
2024-01-11T00:00:00Z,BTCUSDT,46653.61,0.01819,Market,Filled,848.6291659,"" 
2024-01-11T04:00:00Z,BTCUSDT,46502.16,-0.01819,Market,Filled,-845.8742904,"Liquidated" 
2024-01-11T08:00:00Z,BTCUSDT,46101.41,0.01837,Market,Filled,846.8829017,"" 
2024-01-11T11:00:00Z,BTCUSDT,46859.9,-0.01837,Market,Filled,-860.816363,"Liquidated" 
2024-01-11T21:00:00Z,BTCUSDT,46245.98,0.01855,Market,Filled,857.862929,"" 
2024-01-12T01:00:00Z,BTCUSDT,46293.42,-0.01855,Market,Filled,-858.742941,"Liquidated" 
2024-01-13T00:00:00Z,BTCUSDT,42782.74,0.02008,Market,Filled,859.0774192,"" 
2024-01-13T07:00:00Z,BTCUSDT,43149.99,-0.02008,Market,Filled,-866.4517992,"Liquidated" 
2024-01-14T04:00:00Z,BTCUSDT,42681.82,0.02026,Market,Filled,864.7336732,"" 
2024-01-14T06:00:00Z,BTCUSDT,42749.99,-0.02026,Market,Filled,-866.1147974,"Liquidated" 
2024-01-14T17:00:00Z,BTCUSDT,42929.95,0.02017,Market,Filled,865.8970915,"" 
2024-01-14T20:00:00Z,BTCUSDT,42660,-0.02017,Market,Filled,-860.4522,"Liquidated" 
2024-01-14T23:00:00Z,BTCUSDT,42271,0.02039,Market,Filled,861.90569,"" 
2024-01-15T06:00:00Z,BTCUSDT,42739.85,-0.02039,Market,Filled,-871.4655415,"Liquidated" 
2024-01-15T09:00:00Z,BTCUSDT,42680.44,0.02037,Market,Filled,869.4005628,"" 
2024-01-15T11:00:00Z,BTCUSDT,42565.25,-0.02037,Market,Filled,-867.0541425,"Liquidated" 
2024-01-15T12:00:00Z,BTCUSDT,42698,0.02032,Market,Filled,867.62336,"" 
2024-01-15T13:00:00Z,BTCUSDT,42663.78,-0.02032,Market,Filled,-866.9280096,"Liquidated" 
2024-01-15T16:00:00Z,BTCUSDT,42279,0.02051,Market,Filled,867.14229,"" 
2024-01-15T20:00:00Z,BTCUSDT,42992.67,-0.02051,Market,Filled,-881.7796617,"Liquidated" 
2024-01-17T03:00:00Z,BTCUSDT,42997.26,0.02043,Market,Filled,878.4340218,"" 
2024-01-17T04:00:00Z,BTCUSDT,42849,-0.02043,Market,Filled,-875.40507,"Liquidated" 
2024-01-17T07:00:00Z,BTCUSDT,42806.06,0.02047,Market,Filled,876.2400482,"" 
2024-01-17T09:00:00Z,BTCUSDT,42728.75,-0.02047,Market,Filled,-874.6575125,"Liquidated" 
2024-01-18T01:00:00Z,BTCUSDT,42656.85,0.02052,Market,Filled,875.318562,"" 
2024-01-18T08:00:00Z,BTCUSDT,42915.32,-0.02052,Market,Filled,-880.6223664,"Liquidated" 
2024-01-20T00:00:00Z,BTCUSDT,41659.04,0.02111,Market,Filled,879.4223344,"" 
2024-01-20T01:00:00Z,BTCUSDT,41482.28,-0.02111,Market,Filled,-875.6909308,"Liquidated" 
2024-01-20T07:00:00Z,BTCUSDT,41672.02,0.02103,Market,Filled,876.3625806,"" 
2024-01-20T09:00:00Z,BTCUSDT,41590,-0.02103,Market,Filled,-874.6377,"Liquidated" 
2024-01-20T14:00:00Z,BTCUSDT,41633.12,0.02102,Market,Filled,875.1281824,"" 
2024-01-20T21:00:00Z,BTCUSDT,41751.36,-0.02102,Market,Filled,-877.6135872,"Liquidated" 
2024-01-21T06:00:00Z,BTCUSDT,41628.47,0.02107,Market,Filled,877.1118629,"" 
2024-01-21T08:00:00Z,BTCUSDT,41648.5,-0.02107,Market,Filled,-877.533895,"Liquidated" 
2024-01-21T11:00:00Z,BTCUSDT,41786,0.021,Market,Filled,877.506,"" 
2024-01-21T14:00:00Z,BTCUSDT,41859.52,-0.021,Market,Filled,-879.04992,"Liquidated" 
2024-01-21T19:00:00Z,BTCUSDT,41681.1,0.02108,Market,Filled,878.637588,"" 
2024-01-21T22:00:00Z,BTCUSDT,41785.9,-0.02108,Market,Filled,-880.846772,"Liquidated" 
2024-01-22T05:00:00Z,BTCUSDT,40786.42,0.02159,Market,Filled,880.5788078,"" 
2024-01-22T06:00:00Z,BTCUSDT,41138.46,-0.02159,Market,Filled,-888.1793514,"Liquidated" 
2024-01-22T20:00:00Z,BTCUSDT,39820.31,0.02227,Market,Filled,886.7983037,"" 
2024-01-23T03:00:00Z,BTCUSDT,40060.46,-0.02227,Market,Filled,-892.1464442,"Liquidated" 
2024-01-23T04:00:00Z,BTCUSDT,40000.44,0.02228,Market,Filled,891.2098032,"" 
2024-01-23T05:00:00Z,BTCUSDT,40065.5,-0.02228,Market,Filled,-892.65934,"Liquidated" 
2024-01-23T08:00:00Z,BTCUSDT,39780.01,0.02243,Market,Filled,892.2656243,"" 
2024-01-24T01:00:00Z,BTCUSDT,40179.52,-0.02243,Market,Filled,-901.2266336,"Liquidated" 
2024-01-24T02:00:00Z,BTCUSDT,39769.98,0.0226,Market,Filled,898.801548,"" 
2024-01-24T10:00:00Z,BTCUSDT,40024.81,-0.0226,Market,Filled,-904.560706,"Liquidated" 
2024-01-24T13:00:00Z,BTCUSDT,40029.67,0.02257,Market,Filled,903.4696519,"" 
2024-01-24T16:00:00Z,BTCUSDT,40050.71,-0.02257,Market,Filled,-903.9445247,"Liquidated" 
2024-01-24T20:00:00Z,BTCUSDT,39803.05,0.02271,Market,Filled,903.9272655,"" 
2024-01-25T00:00:00Z,BTCUSDT,40084.88,-0.02271,Market,Filled,-910.3276248,"Liquidated" 
2024-01-25T02:00:00Z,BTCUSDT,39978.84,0.02273,Market,Filled,908.7190332,"" 
2024-01-25T08:00:00Z,BTCUSDT,40130,-0.02273,Market,Filled,-912.1549,"Liquidated" 
2024-01-25T13:00:00Z,BTCUSDT,39859.81,0.02287,Market,Filled,911.5938547,"" 
2024-01-26T03:00:00Z,BTCUSDT,40144.3,-0.02287,Market,Filled,-918.100141,"Liquidated" 
2024-01-26T08:00:00Z,BTCUSDT,39970,0.02294,Market,Filled,916.9118,"" 
2024-01-26T14:00:00Z,BTCUSDT,41021.65,-0.02294,Market,Filled,-941.036651,"Liquidated" 
2024-01-27T05:00:00Z,BTCUSDT,41844.27,0.02237,Market,Filled,936.0563199,"" 
